"ccode","stateabb","styear","community_membership"
700,"AFG",1919,8
339,"ALB",1914,9
615,"ALG",1962,6
540,"ANG",1975,3
160,"ARG",1841,2
371,"ARM",1991,1
900,"AUL",1920,2
305,"AUS",1919,10
373,"AZE",1991,1
692,"BAH",1971,6
211,"BEL",1830,5
434,"BEN",1960,4
439,"BFO",1960,4
760,"BHU",1971,11
370,"BLR",1991,1
771,"BNG",1971,12
145,"BOL",1848,2
571,"BOT",1966,13
140,"BRA",1822,2
516,"BUI",1962,3
355,"BUL",1908,14
811,"CAM",1953,15
20,"CAN",1920,2
471,"CAO",1960,3
437,"CDI",1960,4
482,"CEN",1960,3
483,"CHA",1960,3
155,"CHL",1839,2
710,"CHN",1860,16
100,"COL",1831,2
581,"COM",1975,6
94,"COS",1920,2
344,"CRO",1992,17
40,"CUB",1902,18
352,"CYP",1960,19
316,"CZR",1993,5
390,"DEN",1816,5
522,"DJI",1977,6
816,"DRV",1954,20
130,"ECU",1854,2
651,"EGY",1855,21
411,"EQG",1968,3
531,"ERI",1993,22
366,"EST",1918,23
530,"ETH",1898,24
950,"FIJ",1970,25
375,"FIN",1917,26
220,"FRN",1816,5
481,"GAB",1960,3
420,"GAM",1965,4
452,"GHA",1957,4
255,"GMY",1816,5
404,"GNB",1974,4
350,"GRC",1828,5
372,"GRG",1991,1
90,"GUA",1868,2
438,"GUI",1958,4
110,"GUY",1966,2
41,"HAI",1859,2
91,"HON",1899,2
310,"HUN",1918,5
750,"IND",1947,27
850,"INS",1949,28
205,"IRE",1922,29
630,"IRN",1855,30
645,"IRQ",1932,6
666,"ISR",1948,31
325,"ITA",1816,5
51,"JAM",1962,2
663,"JOR",1946,6
740,"JPN",1860,2
501,"KEN",1963,32
690,"KUW",1961,6
703,"KYR",1991,1
705,"KZK",1991,1
812,"LAO",1953,33
367,"LAT",1918,34
450,"LBR",1920,4
660,"LEB",1946,6
570,"LES",1966,35
620,"LIB",1951,6
368,"LIT",1918,36
435,"MAA",1960,4
343,"MAC",1993,37
580,"MAG",1960,38
820,"MAL",1957,39
590,"MAS",1968,40
553,"MAW",1964,41
70,"MEX",1831,2
359,"MLD",1991,42
432,"MLI",1960,4
712,"MON",1921,43
600,"MOR",1847,6
541,"MZM",1975,44
565,"NAM",1990,7
790,"NEP",1920,45
920,"NEW",1920,46
93,"NIC",1900,2
475,"NIG",1960,4
436,"NIR",1960,4
385,"NOR",1905,5
210,"NTH",1816,5
698,"OMA",1971,6
770,"PAK",1947,2
95,"PAN",1903,2
150,"PAR",1846,2
135,"PER",1839,2
840,"PHI",1946,2
910,"PNG",1975,47
290,"POL",1918,5
235,"POR",1816,5
694,"QAT",1971,6
360,"ROM",1878,48
365,"RUS",1816,1
517,"RWA",1962,3
560,"SAF",1920,49
92,"SAL",1875,2
670,"SAU",1927,6
433,"SEN",1960,4
451,"SIE",1961,4
830,"SIN",1965,50
349,"SLV",1992,51
940,"SOL",1978,52
520,"SOM",1960,6
230,"SPN",1816,5
780,"SRI",1948,53
625,"SUD",1956,6
572,"SWA",1968,54
380,"SWD",1816,55
225,"SWZ",1816,56
652,"SYR",1946,6
702,"TAJ",1991,1
713,"TAW",1949,57
510,"TAZ",1961,58
800,"THI",1887,59
701,"TKM",1991,1
461,"TOG",1960,4
616,"TUN",1825,6
640,"TUR",1816,5
500,"UGA",1962,60
200,"UKG",1816,5
369,"UKR",1991,61
165,"URU",1882,2
2,"USA",1816,2
704,"UZB",1991,1
101,"VEN",1841,2
679,"YEM",1990,6
345,"YUG",1878,62
551,"ZAM",1964,63
552,"ZIM",1965,7
